Ax,Ay,Az,Gx,Gy,Gz,Pitch,Roll,AccelMag,GyroMag
-7660,544,18072,-3155,386,8379,1.5875455927751458,22.970150656240076,19635.903849835893,8961.621616649523
-9964,-216,17836,-1729,451,3437,-0.6057337886053705,29.1897097068715,20431.613935271977,3873.73347043908
-7720,348,17456,358,223,-2927,1.0445230160536694,23.85764108246011,19090.08748015577,2957.2321518609256
-5304,-1868,18760,-1329,-10,2209,-5.473232177199468,15.78714743368658,19584.673599526748,2577.9879751465096
-6536,144,18788,552,-436,-2771,0.41475343518628355,19.18184672243093,19892.937842360036,2858.8880705617003
-8964,932,17548,-3658,730,9053,2.707942050117009,27.059192266533252,19726.992269476865,9791.357056097995
-7072,312,18732,-4842,803,12759,0.8927369393508647,20.683315377212434,20024.943245862145,13670.473803054523
-6744,268,18744,1927,-112,-6918,0.7707880228133993,19.788484447590168,19922.12077064086,7182.241780948341
-5768,60,19072,1740,136,-7494,0.1725326511445683,16.827042938015207,19925.225419051098,7694.552098725435
-5888,1052,18452,4485,-490,-14169,3.1089401202469817,17.697789541206227,19397.204747076317,14869.965904466628
-8272,-324,17632,-3115,964,7667,-0.9530780907328097,25.13348108630879,19478.664841307786,8331.591084540816
-5144,404,18884,-1491,-175,3101,1.1825116160644524,15.2376595583953,19576.246013983375,3445.273138664045
-6704,468,18340,1997,222,-7236,1.372942645205709,20.079369838685267,19532.49190451643,7509.792873308824
-4856,984,18192,-703,-921,1055,2.9915521656696766,14.945530211286298,18854.650779051837,1566.9955328589804
-6704,-436,18372,-3453,599,8506,-1.2771332966591573,20.047183414976296,19561.80196198704,9199.676407352597
-6496,724,18928,2409,-319,-7920,2.0719932967264207,18.94197788383679,20024.76906233877,8284.409574616648
-6804,1112,18400,478,41,-2525,3.244252865841406,20.29351717431376,19649.197439081323,2570.1731459183834
-6672,828,18860,-2570,-95,6182,2.3700547824177822,19.481975765949333,20022.506536395485,6695.599226357564
-7452,700,18564,-3151,518,7631,2.0041475844323813,21.871617045581402,20016.10351691857,8272.199586567045
-7696,-240,18300,-1192,682,2170,-0.692626899024205,22.80901492790854,19853.86652518849,2568.0514013547313
-7844,-60,18896,831,312,-3678,-0.16802723882258633,22.54403703151647,20459.49051174051,3783.594719311253
-6544,856,16000,-14323,-7103,-7801,2.8348762785292405,22.24456154285566,17307.70556717441,17789.22536256146
-5964,12260,12316,-1442,5153,-4188,41.858234595523186,25.838499638798528,18372.826456481867,6795.006769680219
-8332,400,19256,21280,5189,8504,1.0921875529399707,23.39795670410594,20985.13187949983,23496.428175363166
-3772,-5716,16360,3661,-1059,2104,-18.801488081548296,12.983362062965314,17735.564270696323,4353.29966806789
-10852,-6740,19164,-10309,-6731,-8865,-17.016196346479244,29.521580036055898,23031.552270743716,15171.356794960693
-7280,952,18288,-461,200,-496,2.7689418240938406,21.70627695873329,19706.7411816363,706.0715261218229
-5476,-9696,24384,1963,-4137,1806,-21.204994116222565,12.657121712150147,26806.313584676278,4922.37483335026
-7852,12044,8960,-7191,-463,-8844,45.31168953731056,41.229357099158754,16940.880732712805,11407.943986538503
-5952,7776,19408,8344,5661,2065,20.959390169017087,17.049606629739213,21738.51292062086,10292.399234386508
-6924,2812,18400,4480,4072,3236,8.140037890170099,20.62153699723366,19859.73615131883,6864.639830318849
-9832,8228,11424,-6184,-9709,-4914,28.630124347046905,40.71674367027732,17171.953412468833,12516.146891116292
-7096,476,18520,5,117,-1086,1.3748653433990945,20.96450167314554,19838.603579889386,1092.2957474969862
-7052,732,18120,-392,122,-208,2.155983190808241,21.265152759275402,19457.670158577566,460.2303770939072
-7168,616,18244,-425,95,-198,1.7999826891547628,21.44967961090304,19611.303271327994,478.3868727295932
-7208,616,18260,-400,88,-177,1.7972755528824165,21.54126168302479,19640.83297622583,446.17597425231224
-7188,572,18236,-404,123,-199,1.6714984955838643,21.512642418488877,19609.85017790804,466.8468699691581
-7220,712,18288,-407,109,-212,2.0739275123336074,21.543829137707995,19674.508583443705,471.671495852781
-7248,616,18148,-406,118,-176,1.805486173849398,21.770920268309734,19551.543775364644,457.9694312942732
-7204,628,18316,-400,102,-200,1.827553158811491,21.470573661926647,19691.822058915728,458.6981578336673
-7264,684,18164,-420,38,-172,2.0025093469251654,21.797058514000902,19574.586790019348,455.44264183319507
-7252,572,18288,-409,145,-184,1.6653941354340613,21.630513422068965,19681.708055958963,471.3406411503256
-7168,680,18172,-387,55,-190,1.9936596022750777,21.526904258706583,19546.46280021017,434.61937370531473
-7136,544,18188,-400,119,-202,1.594900374348488,21.422391115281265,19545.377356295783,463.64318176804886
-7252,644,18164,-402,122,-193,1.8859196322196325,21.764417799124345,19568.779624698112,462.31699081906993
-7284,580,18384,-421,121,-193,1.6800497456739636,21.61416904338436,19782.93486821407,478.6762998102162
-7204,156,18456,-512,885,-261,0.45113497938645464,21.322380499920232,19812.77083095648,1055.2203561342058
-7092,744,18216,-385,43,-187,2.179649234755475,21.272359527056775,19562.02075451307,430.1662469325086
-7308,684,18172,-412,79,-188,2.000077739576883,21.90787882400821,19598.37503468081,459.7053404083968
-7160,628,18356,-398,101,-207,1.8255883040754324,21.308926319128563,19713.008902752517,459.84127696412816
